Turkey,83835.75,88416.61,92980.82,95626.88,96221.01,94969.86
United Arab Emirates,9813.17,11054.58,12207.33,13163.55,13850.93,14342.41
Yemen,30245.31,36815.29,42986.33,48304.04,52150.39,54320.08
EUROPE,743390.05,739455.62,728823.37,715721.01,698571.11,680975.52
Eastern Europe,290776.39,281412.55,269142.88,258519.07,247755.09,236430.38
Belarus,9415.43,9163.12,8837.34,8570.90,8296.55,8020.49
Bulgaria,6940.53,6430.85,5894.13,5423.87,4981.15,4567.03
Czechia,10633.42,10528.20,10264.85,10054.30,9777.43,9390.43
Hungary,9621.25,9235.46,8757.85,8278.70,7824.31,7365.05
Poland,37942.23,36615.50,34654.58,32390.04,29980.90,27360.43
Republic of Moldova,4017.69,3843.94,3583.99,3293.16,2982.83,2651.34
Romania,19388.36,18464.24,17463.11,16397.35,15307.16,14260.15
Russia,143786.84,140543.42,135836.50,132730.51,129695.94,126393.17
Slovakia,5451.40,5387.46,5192.52,4964.54,4718.34,4429.95
Ukraine,43579.23,41200.37,38658.01,36415.70,34190.49,31992.33
Northern Europe,105863.13,110634.53,114313.46,117582.88,120026.67,121986.79
Channel Islands,167.58,174.18,178.65,180.63,180.84,180.71
Denmark,5796.80,6024.52,6192.28,6314.40,6437.65,6569.36
Estonia,1300.56,1253.59,1197.94,1144.75,1084.31,1020.97
Faeroe Islands,49.90,52.07,54.03,55.02,55.72,56.60
Finland,5580.13,5739.10,5813.53,5866.35,5939.87,6019.08
Iceland,343.23,365.65,381.15,390.07,394.12,395.25
Republic of Ireland,4887.99,5219.95,5530.56,5801.40,5955.71,6052.15
Isle of Man,85.90,90.69,94.57,97.38,99.49,101.22
Latvia,1892.99,1747.19,1622.75,1517.20,1415.08,1322.01
Lithuania,2852.48,2717.73,2557.90,2406.72,2273.15,2152.77
Norway,5449.69,5959.22,6406.96,6801.52,7152.89,7460.80
Sweden,10121.69,10712.04,11157.89,11626.30,12066.40,12444.18
United Kingdom,67334.21,70578.61,73125.23,75381.14,76971.44,78211.70
Southern Europe,151553.05,148824.92,145251.66,140123.32,133076.04,125950.65
Albania,2942.03,2933.42,2833.06,2663.59,2473.67,2268.39
Andorra,77.18,78.15,78.55,77.19,73.26,68.85
Bosnia and Herzegovina,3498.21,3404.78,3251.17,3058.14,2873.15,2687.60
Croatia,4115.95,3895.78,3681.56,3460.90,3237.21,3020.25
Gibraltar,35.00,35.90,36.53,37.05,37.28,37.28
Greece,11102.57,10783.63,10451.87,9981.57,9329.30,8670.40
Holy See,0.80,0.80,0.80,0.81,0.81,0.81
Italy,59132.07,58109.92,56872.17,55093.19,52685.58,50532.92
Malta,434.36,439.96,431.15,419.25,408.49,394.24
Montenegro,629.40,624.70,610.47,587.90,562.64,534.68
Portugal,10218.41,9877.06,9495.17,8994.59,8384.35,7789.34
San Marino,33.81,34.69,34.97,34.70,34.09,33.40
Serbia,8703.94,8355.45,7912.82,7447.02,7006.91,6563.75
Slovenia,2082.06,2059.21,2007.34,1941.85,1860.18,1776.78
Spain,46459.22,46115.13,45538.50,44394.56,42272.22,39842.94
TFYR Macedonia,2088.04,2076.35,2015.55,1931.00,1836.93,1729.02
Western Europe,195197.47,198583.62,200115.38,199495.75,197713.31,196607.70
Austria,8782.21,8945.88,8962.11,8877.86,8705.19,8536.49
Belgium,11619.97,12001.59,12293.88,12488.23,12597.44,12694.40
France,65721.17,67894.27,69648.31,70609.00,71227.45,71955.83
Germany,82540.45,82186.74,81099.56,79238.49,76918.85,75163.80
Liechtenstein,38.65,40.92,42.38,43.10,43.57,44.13
Luxembourg,603.94,674.86,738.43,795.92,846.45,892.56
Monaco,39.30,41.36,43.49,45.69,48.28,51.20
Netherlands,17181.25,17594.09,17700.29,17517.58,17262.57,17074.53
Switzerland,8670.54,9203.91,9586.94,9879.90,10063.51,10194.76
LATIN AMERICA AND THE CARIBBEAN,664473.54,718483.39,757027.01,779841.20,787456.60,780996.95
Caribbean,44679.44,46887.03,48106.58,48258.25,47450.31,45963.43
Anguilla,15.28,15.87,15.96,15.65,15.09,14.42
Antigua and Barbuda,105.11,114.61,121.50,125.22,126.69,127.25
Aruba,106.44,109.38,109.44,106.60,104.21,102.95
Bahamas,406.84,439.90,461.36,474.89,481.89,483.29
Barbados,287.57,290.01,286.84,280.31,273.54,268.17
British Virgin Islands,32.63,35.29,36.83,37.58,37.64,37.25
Caribbean Netherlands,26.21,27.97,29.12,29.89,30.37,30.80
Cayman Islands,63.89,71.06,77.01,81.49,85.21,89.32
Cuba,11495.49,11496.00,11266.07,10823.14,10187.70,9512.44
Curaçao,163.50,172.17,177.67,181.29,184.05,186.70
Dominica,75.05,77.59,77.77,76.73,74.22,70.45
Dominican Republic,11108.36,12098.32,12830.73,13264.74,13422.52,13354.00
Grenada,109.31,112.02,111.97,109.58,104.16,96.26
Guadeloupe,448.43,447.80,442.67,424.90,403.50,386.37
Haiti,11371.19,12543.96,13454.09,14041.14,14280.34,14185.44
Jamaica,2913.16,2932.63,2858.38,2703.59,2497.45,2244.27
Martinique,385.46,382.09,373.32,355.07,333.21,316.25
Montserrat,5.24,5.40,5.46,5.39,5.27,5.12
Puerto Rico,3650.61,3592.75,3474.43,3281.90,3048.86,2792.19
Saint Kitts and Nevis,56.81,60.60,62.74,63.39,62.74,61.22
Saint Lucia,181.20,186.37,186.64,182.28,174.46,163.94
Saint Vincent and the Grenadines,110.76,112.11,112.01,109.41,104.66,98.62
Sint Maarten (Dutch part),41.36,46.03,49.48,52.24,54.63,56.87
Trinidad and Tobago,1377.73,1373.66,1343.47,1295.07,1227.12,1154.43
Turks and Caicos Islands,36.95,41.53,45.31,47.86,49.41,50.62
United States Virgin Islands,104.86,101.92,96.31,88.91,81.40,74.79
Central America,184127.25,204496.47,220399.24,231562.99,237729.58,238851.34
Belize,398.01,472.70,537.62,592.42,635.47,664.55
