Country Origin Name,Country Dest Name,1960 [1960],1970 [1970],1980 [1980],1990 [1990],2000 [2000],Include,L_Or,L_Des,,
Pakistan,United Arab Emirates,547,16366,178653,331493,569556,TRUE,Punjabi,Arabic,TRUE,TRUE
Pakistan,Qatar,68,842,11777,13021,33685,TRUE,Punjabi,Arabic,TRUE,TRUE
Pakistan,Oman,5110,7352,17096,49584,73001,TRUE,Punjabi,Arabic,TRUE,TRUE
Pakistan,Switzerland,577,698,401,640,2405,TRUE,Punjabi,German,TRUE,TRUE
Pakistan,Afghanistan,22451,23061,18490,13748,14877,TRUE,Punjabi,Arabic,TRUE,TRUE
Pakistan,Australia,1137,1240,2437,5748,11745,TRUE,Punjabi,English,TRUE,TRUE
Pakistan,Canada,845,11119,21835,19370,81236,TRUE,Punjabi,English,TRUE,TRUE
Pakistan,Germany,925,1477,25532,15717,37323,TRUE,Punjabi,German,TRUE,TRUE
Pakistan,United Kingdom,36635,143669,192672,243379,350867,TRUE,Punjabi,English,TRUE,TRUE
Pakistan,United States,1970,8798,35058,92839,234081,TRUE,Punjabi,English,TRUE,TRUE
Pakistan,Iraq,464,433,427,555,131,FALSE,Punjabi,Arabic,TRUE,FALSE
Pakistan,Jordan,157,945,3586,3370,3212,TRUE,Punjabi,Arabic,TRUE,TRUE
Pakistan,Kuwait,2604,18261,42340,65643,61987,TRUE,Punjabi,Arabic,TRUE,TRUE
Pakistan,Lebanon,71,158,796,7798,22542,TRUE,Punjabi,Arabic,TRUE,TRUE
Pakistan,Malaysia,1880,23236,15220,5077,10437,TRUE,Punjabi,Malay,TRUE,TRUE
Pakistan,Russian Federation,0,0,0,0,44,FALSE,Punjabi,Russian,TRUE,FALSE
Pakistan,Saudi Arabia,7889,44432,226578,590319,638606,TRUE,Punjabi,Arabic,TRUE,TRUE
Pakistan,Sudan,107,102,131,446,538,FALSE,Punjabi,Arabic,TRUE,FALSE
Pakistan,Turkey,114,207,247,447,1151,TRUE,Punjabi,Turkish,TRUE,TRUE
Pakistan,France,43945,4394,6210,10825,74137,TRUE,Punjabi,French,TRUE,TRUE
Pakistan,Japan,18,285,631,4767,6029,TRUE,Punjabi,Japanese,TRUE,TRUE
Pakistan,Singapore,1463,2038,1909,2432,13233,TRUE,Punjabi,English,TRUE,TRUE
Indonesia,United Arab Emirates,6,173,1883,3495,6005,TRUE,Malay,Arabic,TRUE,TRUE
Indonesia,Qatar,4,59,339,1795,15127,TRUE,Malay,Arabic,TRUE,TRUE
Indonesia,Oman,18,26,61,177,261,FALSE,Malay,Arabic,TRUE,FALSE
Indonesia,Switzerland,292,335,203,318,1207,TRUE,Malay,German,TRUE,TRUE
Indonesia,Afghanistan,3,0,14,13,11,FALSE,Malay,Arabic,TRUE,FALSE
Indonesia,Australia,5746,7610,15589,31705,46488,TRUE,Malay,English,TRUE,TRUE
Indonesia,Canada,108,1418,2784,7350,10358,TRUE,Malay,English,TRUE,TRUE
Indonesia,Germany,1340,2891,10080,6945,11363,TRUE,Malay,German,TRUE,TRUE
Indonesia,United Kingdom,2219,646,7580,178,55,TRUE,Malay,English,TRUE,TRUE
Indonesia,United States,1793,1420,33144,52665,79796,TRUE,Malay,English,TRUE,TRUE
Indonesia,Iraq,3,2,1,0,0,FALSE,Malay,Arabic,TRUE,FALSE
Indonesia,Jordan,10,13,39,121,10282,TRUE,Malay,Arabic,TRUE,TRUE
Indonesia,Kuwait,173,301,125,21256,20073,TRUE,Malay,Arabic,TRUE,TRUE
Indonesia,Lebanon,4,11,23,1075,10123,TRUE,Malay,Arabic,TRUE,TRUE
