"","Origin","Destination","Intercept","Slope","p-value","R^2","2020","2030","2040","2050","2060","2070"
"71","Pakistan","Oman","-5174.20000000001","1780.14","0.0143729165372303","0.89753768577869",101634.2,119435.6,137237,155038.4,172839.8,190641.2
"72","Pakistan","Switzerland","224.6","35.98","0.197029011673884","0.476468451788648",2383.4,2743.2,3103,3462.8,3822.6,4182.4
"73","Pakistan","Afghanistan","23417.6","-244.61","0.0315152538049076","0.829673032290973",8741,6294.9,3848.8,1402.7,-1043.40000000001,-3489.5
"74","Pakistan","Australia","-683.400000000002","257.24","0.0329479814586772","0.824748837944297",14751,17323.4,19895.8,22468.2,25040.6,27613
"75","Pakistan","Canada","-6925.60000000001","1690.33","0.0687264020785852","0.721035245606895",94494.2,111397.5,128300.8,145204.1,162107.4,179010.7
"76","Pakistan","Germany","-1212.4","870.36","0.0504573382636417","0.770162696162587",51009.2,59712.8,68416.4,77120,85823.6,94527.2
"77","Pakistan","United Kingdom","47809.5999999999","7281.74","0.00161668317973202","0.975728543670138",484714,557531.4,630348.8,703166.2,775983.6,848801
"78","Pakistan","United States","-35103.4","5482.63","0.0362119276862747","0.81383197094973",293854.4,348680.7,403507,458333.3,513159.6,567985.9
"79","Pakistan","Jordan","547","85.35","0.0671805358154154","0.724958236857971",5668,6521.5,7375,8228.5,9082,9935.5
"80","Pakistan","Kuwait","4937.39999999999","1661.48","0.00985303010228218","0.919953376809605",104626.2,121241,137855.8,154470.6,171085.4,187700.2
"81","Pakistan","Lebanon","-4243.4","525.82","0.0608185755681186","0.741526383852554",27305.8,32564,37822.2,43080.4,48338.6,53596.8
"82","Pakistan","Malaysia","11379","-10.45","0.975120108660043","0.000381884480812689",10752,10647.5,10543,10438.5,10334,10229.5
"83","Pakistan","Saudi Arabia","-59899.4000000001","18073.21","0.00980394690410203","0.920214984298559",1024493.2,1205225.3,1385957.4,1566689.5,1747421.6,1928153.7
"84","Pakistan","Turkey","-29.6000000000003","23.14","0.0535024204621073","0.761512433712843",1358.8,1590.2,1821.6,2053,2284.4,2515.8
"85","Pakistan","France","14539.2","668.15","0.56734703399743","0.120335030302386",54628.2,61309.7,67991.2,74672.7,81354.2,88035.7
"86","Pakistan","Japan","-954.800000000001","165.04","0.0257888180282486","0.850283465265001",8947.6,10598,12248.4,13898.8,15549.2,17199.6
